	Area_rep	Total	Total_profit	Jan-24	1/2024_profit	Feb-24	2/2024_profit	Mar-24	3/2024_profit	Apr-24	4/2024_profit	May-24	5/2024_profit	Jun-24	6/2024_profit	Jul-24	7/2024_profit	Aug-24	8/2024_profit	Sep-24	9/2024_profit	Oct-24	10/2024_profit	Nov-24	11/2024_profit	Dec-24	12/2024_profit
0	global_sales	119932193	5242343	6486881	226514	5371700	200367	5380802	249773	7166369	351746	6841826	350918	8378220	417782	11637253	552739	13090028	564599	11614475	448283	13894954	582753	15499158	661018	14570527	635851
1	GOMLA	62791427	2303795	3476129	80591	3017230	84236	2854427	119637	4259032	196091	3406777	178383	3775086	174201	5700903	240481	6949134	266898	5916992	172375	7598106	252991	8488477	290778	7349134	247133
2	global_pharmacy	57140766	2938548	3010752	145923	2354470	116131	2526375	130136	2907337	155655	3435049	172535	4603134	243581	5936350	312258	6140894	297701	5697483	275908	6296848	329762	7010681	370240	7221393	388718
3	ALEXANDRIA	35172280	1632862	2052924	96980	1470454	68755	1683394	84796	1726804	86944	2092797	97413	2895364	142784	3614204	155632	4220351	181151	3766223	163544	3679683	175080	3970597	186917	3999485	192866
4	SHIMAA	20429628	1118936	1218259	59813	1071981	56188	1059471	54490	1236605	69838	1486889	78389	1646285	90481	2305177	140213	2271761	117766	1992348	102550	2052760	114012	2056914	117412	2031178	117784
5	Behira	16110150	902901	473995	21629	489914	24375	603193	30049	798753	42721	935244	47720	1249373	71181	1562259	97693	1242810	67102	1460647	76152	2229563	125746	2470966	143793	2593433	154740
6	Kafr dwar	11388971	607308	473995	21629	489914	24375	603193	30049	798753	42721	935244	47720	893004	48208	908421	55081	801995	40958	950195	45838	1645948	90548	1480954	82928	1407355	77253
7	ESRAA	9371077	540212	690445	41242	534689	32039	554010	35265	591838	36043	649798	35303	724563	46679	696926	38646	785566	43282	786717	44272	987188	57579	1129146	61148	1240191	68714
8	Kafr dwar1	8960057	471204	473995	21629	489914	24375	603193	30049	798753	42721	935244	47720	893004	48208	908421	55081	797214	40786	747808	37860	862922	46442	702252	36885	747337	39448
9	AYA	8170325	406152	390216	17343	245111	10544	318622	14647	385010	19880	544221	25985	504962	25633	689589	35732	1024752	50937	708037	32935	1154690	59150	1155056	59883	1050059	53483
10	Alexandria / SHIMAA	7377190	306141	386083	16547	281048	12615	294710	13228	234075	11392	389914	16540	602304	26404	926864	41159	1131039	44918	967831	38157	816259	32676	717062	27501	630001	25004
11	OMET	7038877	296488	376998	15477	282772	11365	296907	12812	349008	15073	381486	16110	812058	35266	727781	30281	930130	38581	818017	33931	686765	29241	662205	28201	714750	30150
12	I_SUPPLY	6715775	282413	267910	10160	176857	7334	275690	11927	303609	13107	318513	13812	482126	21189	627673	26378	948554	39312	882042	36648	788940	33438	882614	37159	761247	31949
13	Kafr dwar1 / SHIMAA	6653012	346727	439736	20136	452112	22496	533476	26357	629018	32798	716901	36142	636831	34963	680812	42696	559114	27900	541013	26970	517638	27910	463499	23748	482862	24611
14	Alexandria / OMET	6123359	252514	364113	14973	282271	11339	296907	12812	349008	15073	347147	14488	597057	25839	550677	22452	853906	34606	742446	29883	596390	24563	528226	21456	615211	25030
15	MATROUH	4976656	367283	392440	23130	338821	21077	231285	14905	373512	25648	380074	25707	407240	29105	697501	56358	588560	45244	430929	35008	329261	26717	401196	32215	405837	32169
16	Matrouh / SHIMAA	4939522	364240	392440	23130	338821	21077	231285	14905	373512	25648	380074	25707	407150	29114	697501	56358	581608	44948	429968	34933	300274	24048	401052	32203	405837	32169
17	Abo Mtamir	4721179	295593	0	0	0	0	0	0	0	0	0	0	356369	22973	653838	42612	440815	26144	510452	30314	583615	35198	990012	60865	1186078	77487
18	Alexandria / AYA	3604942	157566	320139	13415	160899	7213	248092	10927	214978	10007	346558	14994	282644	13708	299412	12962	399221	15651	294679	12909	333747	15221	334694	14080	369879	16479
19	Abo Mtamir / IHAB	3422429	215363	0	0	0	0	0	0	0	0	0	0	342064	22182	478460	31508	35321	2222	392244	23207	564193	33892	735999	44903	874148	57449
20	Kafr dwar2	2012770	123379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1310	65	103021	5203	666197	39939	686923	43362	555319	34810
21	Kafr dwar1 / AYA	1853976	101732	21374	989	33871	1677	67857	3608	165952	9729	178537	9728	207567	11094	181634	9977	159555	8782	168433	8922	253244	13787	200982	11177	214970	12262
22	GHARB	1239847	55755	8966	332	6689	272	6715	338	10182	400	8391	376	188756	8168	170548	7032	35800	1386	20800	804	28040	1111	427469	19354	327491	16182
23	Kafr dwar2 / AYA	1135798	70134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12276	633	410343	23844	408637	26366	304542	19291
24	Abo Mtamir / AYA	783622	47489	0	0	0	0	0	0	0	0	0	0	14305	791	175378	11104	405494	23922	118208	7107	19422	1306	24594	1495	26221	1764
25	Engineer_SHAMS / SHIMAA	736564	56837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203609	15422	243869	19454	289086	21961
26	Kafr dwar2 / SHIMAA	723340	44991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53536	2490	214980	13956	231432	14506	223392	14039
27	Gharb / ESRAA	719274	33395	325	3	1199	51	6202	317	6810	250	5675	273	21783	869	35768	1462	33183	1280	17753	685	23702	938	280576	12942	286298	14325
28	KONTY	702209	40677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301146	17324	401063	23353
29	Abo Mtamir / KONTY	515128	32741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229419	14467	285709	18274
30	Kafr dwar NAKRODY / AYA	416144	12725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3471	107	99366	2775	116829	4167	91779	2681	104699	2995
31	Kafr dwar1 / OMET	403650	20230	12885	504	501	26	0	0	0	0	34339	1622	48606	2151	45494	2387	74914	3910	38362	1968	61273	3127	37771	1960	49505	2575
32	ISLAM_KHORSHED / AYA	375843	16506	48703	2939	50341	1654	2673	112	4080	144	19126	1263	446	40	33165	1689	57011	2475	15075	589	21105	825	94370	4084	29748	692
33	Gharb / OMET	370008	16078	0	0	0	0	0	0	0	0	0	0	166395	7276	131610	5442	0	0	0	0	0	0	49354	2295	22649	1065
34	Gharb / ISUPPLY	143392	5977	8641	329	5490	221	513	21	3372	150	2716	103	578	23	1685	64	1587	66	1310	48	4338	173	94618	3987	18544	792
35	Kafr dwar2 / OMET	141860	7666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1310	65	37209	2080	29102	1551	46854	2490	27385	1480
36	Gharb / KONTY	117439	5496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46065	1928	71374	3568
37	Alexandria / KONTY	69642	2440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25662	929	43980	1511
38	Kafr dwar2 / NEW_APP	67675	3571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11532	624	56143	2947
39	Gharb / NEW_APP	9426	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9426	396
40	Gharb / AYA	7173	305	0	0	0	0	0	0	0	0	0	0	0	0	1485	64	1030	40	1737	71	0	0	2921	130	0	0
41	Abo Mtamir / NEW_APP	2165	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2165	165	0	0
