pharmacy	Jan-24	Feb-24	Mar-24	Apr-24	May-24	Jun-24	Jul-24	Aug-24	Sep-24	Oct-24	Nov-24	Dec-24
GHARB	8966	6689	6715	10182	8391	188756	170548	35800	20800	28040	427469	327491
Gharb / OMET	0	0	0	0	0	166395	131610	0	0	0	49354	22649
Kafr dwar NAKRODY / AYA	0	0	0	0	0	0	0	3471	99366	116829	91779	104699
Engineer_SHAMS / SHIMAA	0	0	0	0	0	0	0	0	0	203609	243869	289086
Gharb / ESRAA	325	1199	6202	6810	5675	21783	35768	33183	17753	23702	280576	286298
Gharb / ISUPPLY	8641	5490	513	3372	2716	578	1685	1587	1310	4338	94618	18544
KONTY	0	0	0	0	0	0	0	0	0	0	301146	401063
Abo Mtamir / KONTY	0	0	0	0	0	0	0	0	0	0	229419	285709
Gharb / AYA	0	0	0	0	0	0	1485	1030	1737	0	2921	0
Alexandria / KONTY	0	0	0	0	0	0	0	0	0	0	25662	43980
Gharb / KONTY	0	0	0	0	0	0	0	0	0	0	46065	71374
global_sales	6486881	5371700	5380802	7166369	6841826	8378220	11637253	13090028	11614475	13894954	15499158	14570527
GOMLA	3476129	3017230	2854427	4259032	3406777	3775086	5700903	6949134	5916992	7598106	8488477	7349134
global_pharmacy	3010752	2354470	2526375	2907337	3435049	4603134	5936350	6140894	5697483	6296848	7010681	7221393
ALEXANDRIA	2052924	1470454	1683394	1726804	2092797	2895364	3614204	4220351	3766223	3679683	3970597	3999485
SHIMAA	1218259	1071981	1059471	1236605	1486889	1646285	2305177	2271761	1992348	2052760	2056914	2031178
Behira	473995	489914	603193	798753	935244	1249373	1562259	1242810	1460647	2229563	2470966	2593433
ESRAA	690445	534689	554010	591838	649798	724563	696926	785566	786717	987188	1129146	1240191
Kafr dwar	473995	489914	603193	798753	935244	893004	908421	801995	950195	1645948	1480954	1407355
Kafr dwar1	473995	489914	603193	798753	935244	893004	908421	797214	747808	862922	702252	747337
Kafr dwar2	0	0	0	0	0	0	0	1310	103021	666197	686923	555319
Kafr dwar1 / SHIMAA	439736	452112	533476	629018	716901	636831	680812	559114	541013	517638	463499	482862
Kafr dwar2 / SHIMAA	0	0	0	0	0	0	0	0	53536	214980	231432	223392
AYA	390216	245111	318622	385010	544221	504962	689589	1024752	708037	1154690	1155056	1050059
MATROUH	392440	338821	231285	373512	380074	407240	697501	588560	430929	329261	401196	405837
Matrouh / SHIMAA	392440	338821	231285	373512	380074	407150	697501	581608	429968	300274	401052	405837
OMET	376998	282772	296907	349008	381486	812058	727781	930130	818017	686765	662205	714750
Alexandria / OMET	364113	282271	296907	349008	347147	597057	550677	853906	742446	596390	528226	615211
Alexandria / SHIMAA	386083	281048	294710	234075	389914	602304	926864	1131039	967831	816259	717062	630001
Alexandria / AYA	320139	160899	248092	214978	346558	282644	299412	399221	294679	333747	334694	369879
I_SUPPLY	267910	176857	275690	303609	318513	482126	627673	948554	882042	788940	882614	761247
Kafr dwar1 / AYA	21374	33871	67857	165952	178537	207567	181634	159555	168433	253244	200982	214970
Kafr dwar2 / AYA	0	0	0	0	0	0	0	0	12276	410343	408637	304542
Kafr dwar1 / OMET	12885	501	0	0	34339	48606	45494	74914	38362	61273	37771	49505
Kafr dwar2/ OMET	0	0	0	0	0	0	0	1310	37209	29102	46854	27385
Abo Mtamir	0	0	0	0	0	356369	653838	440815	510452	583615	990012	1186078
Abo Mtamir / IHAB	0	0	0	0	0	342064	478460	35321	392244	564193	735999	874148
Abo Mtamir / AYA	0	0	0	0	0	14305	175378	405494	118208	19422	24594	26221
ISLAM_KHORSHED / AYA	48703	50341	2673	4080	19126	446	33165	57011	15075	21105	94370	29748
Kafr dwar2 / NEW_APP	0	0	0	0	0	0	0	0	0	0	11532	56143
